WORD,FROM,TO,SPEAKER,SPOKEN_TIME,LABEL
just,100.73,101.03,1,0.3,0
in,101.03,101.09,1,0.06,0
my,101.09,101.21,1,0.12,0
lungs,101.21,101.63,1,0.42,0
uhhuh,101.66,101.97,0,0.31,0
uhhuh,102,102.37,0,0.37,0
so,102.9,103.08,1,0.18,0
it's,103.08,103.18,1,0.1,0
over,103.18,103.44,1,0.26,0
you,103.44,103.53,1,0.09,0
know,103.53,103.67,1,0.14,0
anymore,103.67,104.05,1,0.38,0
than,104.05,104.16,1,0.11,0
I,104.16,104.28,1,0.12,0
do,104.28,104.51,1,0.23,0
yeah,104.67,105.03,0,0.36,0
yeah,105.03,105.45,0,0.42,0
okay,105.48,105.99,0,0.51,0
so,106.41,106.87,0,0.46,0
and,106.9,107.27,0,0.37,0
I've,107.3,107.52,0,0.22,0
got,107.52,107.67,0,0.15,0
you,107.67,107.74,0,0.07,0
to,107.74,107.86,0,0.12,0
charge,107.86,108.21,0,0.35,0
somebody,108.21,108.55,0,0.34,0
here,108.55,108.82,0,0.27,0
that's,108.82,109.07,0,0.25,0
where,109.07,109.28,0,0.21,0
that,109.28,109.59,0,0.31,0
the,109.64,109.77,0,0.13,0
hospital,109.77,110.12,0,0.35,0
give,110.12,110.29,0,0.17,0
me,110.29,110.42,0,0.13,0
this,110.42,110.65,0,0.23,0
information,110.65,111.59,0,0.94,0
and,111.91,112.29,0,0.38,0
I,112.32,112.45,0,0.13,0
was,112.45,112.63,0,0.18,0
having,112.63,112.88,0,0.25,0
a,112.88,112.96,0,0.08,0
look,112.96,113.27,0,0.31,0
at,113.27,113.34,0,0.07,0
you,113.34,113.45,0,0.11,0
know,113.45,113.7,0,0.25,0
in,114.05,114.13,0,0.08,0
the,114.13,114.21,0,0.08,0
hospital,114.21,114.63,0,0.42,0
before,114.63,114.98,0,0.35,0
%HESITATION,114.98,115.26,0,0.28,0
truck,115.29,115.58,0,0.29,0
came,115.58,115.78,0,0.2,0
to,115.78,115.87,0,0.09,0
see,115.87,116.14,0,0.27,0
today,116.14,116.72,0,0.58,0
so,117.28,117.54,0,0.26,0
%HESITATION,117.54,117.91,0,0.37,0
a,118.28,118.37,0,0.09,0
little,118.37,118.57,0,0.2,0
bit,118.57,118.7,0,0.13,0
more,118.7,118.86,0,0.16,0
information,118.86,119.81,0,0.95,0
and,120.11,120.7,0,0.59,0
is,120.91,121.19,0,0.28,0
that,121.19,121.4,0,0.21,0
something,121.4,121.68,0,0.28,0
you'd,121.68,121.86,0,0.18,0
like,121.86,122.02,0,0.16,0
me,122.02,122.11,0,0.09,0
to,122.11,122.29,0,0.18,0
go,122.29,122.46,0,0.17,0
over,122.46,122.71,0,0.25,0
with,122.71,122.89,0,0.18,0
you,122.89,123.09,0,0.2,0
well,123.98,124.15,0,0.17,0
I,124.15,124.24,0,0.09,0
know,124.24,124.44,0,0.2,0
what,125.88,126.1,1,0.22,0
the,126.1,126.38,1,0.28,0
%HESITATION,126.38,126.63,1,0.25,0
what,126.76,127.03,1,0.27,0
the,127.03,127.2,1,0.17,0
problems,127.25,127.72,1,0.47,0
are,127.72,127.9,1,0.18,0
yep,128.07,128.26,1,0.19,0
yeah,128.57,128.81,0,0.24,0
are,129.26,129.37,0,0.11,0
you,129.37,129.46,0,0.09,0
happy,129.46,129.83,0,0.37,0
%HESITATION,129.83,129.98,0,0.15,0
since,129.98,130.27,0,0.29,0
I'm,130.27,130.41,0,0.14,0
a,130.41,130.47,0,0.06,0
conversation,130.47,131.17,0,0.7,0
you,131.17,131.27,0,0.1,0
in,131.27,131.39,0,0.12,0
the,131.39,131.51,0,0.12,0
know,131.51,132.17,0,0.66,0
%HESITATION,132.44,132.72,0,0.28,0
I,132.72,132.81,0,0.09,0
know,132.81,132.94,0,0.13,0
you,132.94,133.25,0,0.31,0
you,133.25,133.5,0,0.25,0
said,133.5,133.69,0,0.19,0
he,133.69,133.81,0,0.12,0
does,133.81,134.05,0,0.24,0
could,134.05,134.24,0,0.19,0
be,134.24,134.37,0,0.13,0
his,134.37,134.65,0,0.28,0
days,134.65,135.02,0,0.37,0
are,135.02,135.12,0,0.1,0
or,135.12,135.41,0,0.29,0
if,135.41,135.58,0,0.17,0
we,135.58,135.68,0,0.1,0
just,135.68,135.84,0,0.16,0
have,135.84,135.95,0,0.11,0
a,135.95,136.01,0,0.06,0
chat,136.01,136.21,0,0.2,0
with,136.21,136.33,0,0.12,0
two,136.33,136.51,0,0.18,0
of,136.51,136.64,0,0.13,0
us,136.64,136.87,0,0.23,0
yeah,136.92,137.3,1,0.38,0
it's,137.3,137.44,1,0.14,0
a,137.44,137.53,1,0.09,0
sign,137.53,137.97,1,0.44,0
yeah,138.22,138.5,1,0.28,0
yeah,138.59,138.81,1,0.22,0
okay,139.06,139.52,0,0.46,0
so,140.12,140.55,0,0.43,0
like,141.47,141.7,0,0.23,0
you,141.7,141.79,0,0.09,0
said,141.79,141.98,0,0.19,0
yourself,141.98,142.58,0,0.6,0
and,142.58,142.9,0,0.32,0
hospitalization,142.9,143.65,0,0.75,0
say,143.65,144.01,0,0.36,0
that,144.01,144.2,0,0.19,0
they,144.2,144.3,0,0.1,0
have,144.3,144.53,0,0.23,0
found,144.53,145.07,0,0.54,0
that,145.1,145.19,0,0.09,0
you,145.19,145.29,0,0.1,0
do,145.29,145.47,0,0.18,0
have,145.47,145.71,0,0.24,0
low,145.71,145.84,0,0.13,0
incomes,145.84,146.34,0,0.5,0
%HESITATION,146.34,146.66,0,0.32,0
and,147.35,148.1,0,0.75,0
%HESITATION,148.13,148.36,0,0.23,0
they,148.36,148.47,0,0.11,0
said,148.47,148.67,0,0.2,0
that,148.67,148.92,0,0.25,0
they,148.92,149.04,0,0.12,0
did,149.04,149.21,0,0.17,0
some,149.21,149.35,0,0.14,0
other,149.35,149.56,0,0.21,0
tests,149.56,149.89,0,0.33,0
as,149.89,150.04,0,0.15,0
well,150.04,150.31,0,0.27,0
some,150.31,150.48,0,0.17,0
checks,150.48,150.85,0,0.37,0
when,150.85,150.99,0,0.14,0
you,150.99,151.1,0,0.11,0
BoDeans,151.1,152.06,0,0.96,0
and,152.38,152.73,0,0.35,0
some,152.73,152.86,0,0.13,0
checks,152.86,153.28,0,0.42,0
on,153.28,153.45,0,0.17,0
your,153.45,153.61,0,0.16,0
option,153.65,154.07,0,0.42,0
and,154.07,154.4,0,0.33,0
let,154.58,154.79,0,0.21,0
you,154.79,154.9,0,0.11,0
see,154.9,155.11,0,0.21,0
some,155.11,155.36,0,0.25,0
a,155.36,155.44,0,0.08,0
cabbie,155.44,155.87,0,0.43,0
I,155.87,155.96,0,0.09,0
did,155.96,156.14,0,0.18,0
they,156.14,156.26,0,0.12,0
did,156.26,156.51,0,0.25,0
they,156.51,156.74,0,0.23,0
explain,156.74,157.23,0,0.49,0
what,157.23,157.37,0,0.14,0
those,157.37,157.63,0,0.26,0
tests,157.63,157.93,0,0.3,0
or,157.93,158.03,0,0.1,0
so,158.03,158.38,0,0.35,0
%HESITATION,158.69,159.2,1,0.51,0
no,159.27,159.56,1,0.29,0
not,159.56,159.82,1,0.26,0
really,159.82,160.32,1,0.5,0
I,160.32,160.39,1,0.07,0
mean,160.39,160.55,1,0.16,0
I,160.55,160.6,1,0.05,0
just,160.6,161.13,1,0.53,0
like,161.16,161.37,1,0.21,0
I,161.37,161.43,1,0.06,0
say,161.43,161.6,1,0.17,0
I,161.6,161.74,1,0.14,0
I,162.55,162.64,1,0.09,0
know,162.64,162.83,1,0.19,0
Colin,162.83,163.14,1,0.31,0
comes,163.14,163.48,1,0.34,0
%HESITATION,163.48,163.73,1,0.25,0
%HESITATION,163.98,164.24,1,0.26,0
and,164.24,164.64,1,0.4,0
they,165.26,165.39,1,0.13,0
said,165.39,165.66,1,0.27,0
that,165.66,165.78,1,0.12,0
the,165.78,165.87,1,0.09,0
concert,165.87,166.38,1,0.51,0
spread,166.38,166.87,1,0.49,0
yeah,167.08,167.42,0,0.34,0
it's,167.72,167.89,1,0.17,0
%HESITATION,167.89,168.03,1,0.14,0
the,168.03,168.2,1,0.17,0
site,168.2,168.46,1,0.26,0
but,168.46,168.66,1,0.2,0
didn't,168.66,168.9,1,0.24,0
really,168.9,169.05,1,0.15,0
know,169.05,169.19,1,0.14,0
what,169.19,169.33,1,0.14,0
that,169.33,169.47,1,0.14,0
means,169.47,169.86,1,0.39,0
I,169.86,169.9,1,0.04,0
don't,169.9,170.06,1,0.16,0
know,170.06,170.27,1,0.21,0
hi,170.46,170.69,1,0.23,0
yeah,171.5,171.67,1,0.17,0
yeah,171.86,172.18,1,0.32,0
I,172.26,172.35,1,0.09,0
just,172.35,172.53,1,0.18,0
don't,172.53,172.68,1,0.15,0
know,172.68,172.78,1,0.1,0
what,172.78,172.93,1,0.15,0
so,173.99,174.25,0,0.26,0
if,174.52,174.65,0,0.13,0
you,174.65,174.73,0,0.08,0
don't,174.73,174.88,0,0.15,0
mind,174.88,175.16,0,0.28,0
me,175.16,175.42,0,0.26,0
through,175.46,175.67,0,0.21,0
giving,175.67,175.95,0,0.28,0
up,175.95,176.1,0,0.15,0
if,176.1,176.29,0,0.19,0
you,176.29,176.4,0,0.11,0
have,176.4,176.6,0,0.2,0
I've,176.6,176.83,0,0.23,0
got,176.83,177.02,0,0.19,0
some,177.02,177.33,0,0.31,0
and,178.14,178.8,0,0.66,0
so,179.04,179.54,0,0.5,0
they,180.07,180.34,0,0.27,0
said,180.34,180.64,0,0.3,0
that,180.64,180.84,0,0.2,0
they,180.84,181.23,0,0.39,0
did,181.26,181.47,0,0.21,0
find,181.47,181.92,0,0.45,0
some,181.92,182.06,0,0.14,0
evidence,182.06,182.44,0,0.38,0
of,182.47,182.67,0,0.2,0
the,182.67,182.78,0,0.11,0
loom,182.78,182.95,0,0.17,0
comes,182.95,183.35,0,0.4,0
that,183.35,183.75,0,0.4,0
having,183.78,184.09,0,0.31,0
spread,184.09,184.49,0,0.4,0
to,184.49,184.73,0,0.24,0
Ben's,184.73,185.22,0,0.49,0
those,185.22,185.54,0,0.32,0
into,185.54,185.93,0,0.39,0
live,185.93,186.18,0,0.25,0
service,186.18,186.56,0,0.38,0
well,186.56,186.85,0,0.29,0
is,186.85,186.97,0,0.12,0
that,186.97,187.18,0,0.21,0
something,187.18,187.51,0,0.33,0
that,187.51,187.62,0,0.11,0
they,187.62,187.76,0,0.14,0
mention,187.76,188.19,0,0.43,0
to,188.19,188.38,0,0.19,0
you,188.38,188.56,0,0.18,0
%HESITATION,188.59,188.99,1,0.4,0
maybe,188.99,189.34,1,0.35,0
I,189.34,189.49,1,0.15,0
still,189.87,190.06,1,0.19,0
had,190.06,190.28,1,0.22,0
a,190.28,190.34,1,0.06,0
lot,190.34,190.5,1,0.16,0
hospital,193.22,193.79,0,0.57,0
anything,193.79,194.09,0,0.3,0
told,194.09,194.41,0,0.32,0
us,194.41,194.54,0,0.13,0
the,194.54,194.63,0,0.09,0
thing,194.63,195.03,0,0.4,0
yeah,195.06,195.39,1,0.33,0
and,195.71,196.44,0,0.73,0
so,196.66,197.27,0,0.61,0
so,197.31,197.6,0,0.29,0
the,197.6,197.74,0,0.14,0
somebody,197.74,198.08,0,0.34,0
that,198.08,198.19,0,0.11,0
we've,198.19,198.48,0,0.29,0
caught,198.48,198.83,0,0.35,0
have,198.83,198.96,0,0.13,0
said,198.96,199.3,0,0.34,0
that,199.3,199.51,0,0.21,0
you,199.6,199.75,0,0.15,0
do,199.75,199.93,0,0.18,0
have,199.93,200.14,0,0.21,0
some,200.14,200.31,0,0.17,0
kind,200.31,200.68,0,0.37,0
that,200.77,201.17,0,0.4,0
and,201.2,201.46,0,0.26,0
if,201.46,201.59,0,0.13,0
those,201.59,201.84,0,0.25,0
any,201.84,202.08,0,0.24,0
of,202.08,202.18,0,0.1,0
those,202.18,202.5,0,0.32,0
on,202.5,202.65,0,0.15,0
did,202.65,202.85,0,0.2,0
you,202.85,202.96,0,0.11,0
live,202.96,203.19,0,0.23,0
at,203.19,203.5,0,0.31,0
so,204.34,204.54,1,0.2,0
what,204.68,204.88,1,0.2,0
does,204.88,204.99,1,0.11,0
that,204.99,205.13,1,0.14,0
mean,205.13,205.37,1,0.24,0
in,205.37,205.48,1,0.11,0
terms,205.48,205.8,1,0.32,0
of,205.8,205.97,1,0.17,0
how,206.5,206.77,1,0.27,0
I,206.77,206.85,1,0.08,0
might,206.85,207.14,1,0.29,0
be,207.65,207.78,1,0.13,0
feeling,207.78,208.37,1,0.59,0
soon,208.4,208.9,1,0.5,0
yeah,209.13,209.52,0,0.39,0
yeah,209.68,210.03,0,0.35,0
yeah,210.5,210.66,0,0.16,0
that's,210.66,210.9,0,0.24,0
a,210.9,210.95,0,0.05,0
good,210.95,211.09,0,0.14,0
question,211.09,211.81,0,0.72,0
%HESITATION,212.18,212.76,0,0.58,0
it,213,213.24,0,0.24,0
it,213.27,213.46,0,0.19,0
means,213.46,213.84,0,0.38,0
that,213.84,213.96,0,0.12,0
at,213.96,214.07,0,0.11,0
the,214.07,214.16,0,0.09,0
moment,214.16,214.65,0,0.49,0
what,214.65,214.79,0,0.14,0
was,214.79,214.93,0,0.14,0
said,214.93,215.13,0,0.2,0
is,215.13,215.3,0,0.17,0
is,215.3,215.44,0,0.14,0
is,215.44,215.6,0,0.16,0
the,215.6,215.83,0,0.23,0
business,215.88,216.37,0,0.49,0
is,216.37,216.71,0,0.34,0
you,217.52,217.81,0,0.29,0
%HESITATION,217.81,218.05,0,0.24,0
%HESITATION,218.05,218.21,0,0.16,0
treatment,218.21,218.79,0,0.58,0
they,218.79,218.87,0,0.08,0
can,218.87,219.08,0,0.21,0
give,219.08,219.42,0,0.34,0
that,219.42,219.57,0,0.15,0
will,219.57,219.75,0,0.18,0
take,219.75,220.16,0,0.41,0
that,220.16,220.32,0,0.16,0
comes,220.32,220.75,0,0.43,0
away,221.02,221.85,0,0.83,0
%HESITATION,222.66,223.23,0,0.57,0
but,223.23,223.49,0,0.26,0
of,223.49,223.6,0,0.11,0
all,223.6,223.81,0,0.21,0
things,223.81,224.09,0,0.28,0
we,224.09,224.27,0,0.18,0
can,224.27,224.45,0,0.18,0
do,224.45,224.61,0,0.16,0
to,224.61,224.79,0,0.18,0
make,224.79,225,0,0.21,0
sure,225,225.31,0,0.31,0
that,225.31,225.57,0,0.26,0
you,225.6,225.81,0,0.21,0
feel,225.81,226.19,0,0.38,0
as,226.19,226.34,0,0.15,0
well,226.34,226.51,0,0.17,0
as,226.51,226.65,0,0.14,0
you,226.65,226.76,0,0.11,0
can,226.76,226.98,0,0.22,0
%HESITATION,226.98,227.31,0,0.33,0
if,227.5,227.63,0,0.13,0
that,227.63,227.77,0,0.14,0
makes,227.77,228.05,0,0.28,0
sense,228.05,228.48,0,0.43,0
and,229.17,229.67,0,0.5,0
the,229.67,229.77,0,0.1,0
asking,229.77,230.28,0,0.51,0
about,230.28,230.56,0,0.28,0
how,230.56,230.68,0,0.12,0
it,230.68,230.8,0,0.12,0
might,230.8,230.97,0,0.17,0
make,230.97,231.17,0,0.2,0
you,231.17,231.25,0,0.08,0
feel,231.25,231.49,0,0.24,0
within,231.49,231.72,0,0.23,0
yourself,231.72,232.62,0,0.9,0
maybe,233.43,233.81,0,0.38,0
I,233.81,233.9,0,0.09,0
could,233.9,234.04,0,0.14,0
just,234.04,234.19,0,0.15,0
ask,234.19,234.41,0,0.22,0
you,234.41,234.49,0,0.08,0
how,234.49,234.63,0,0.14,0
you,234.63,234.74,0,0.11,0
feel,234.74,235.02,0,0.28,0
now,235.02,235.36,0,0.34,0
it,235.36,235.58,0,0.22,0
what,235.58,235.79,0,0.21,0
kind,235.79,236.07,0,0.28,0
as,236.07,236.23,0,0.16,0
you,236.23,236.39,0,0.16,0
mentioned,236.39,236.73,0,0.34,0
%HESITATION,236.73,236.82,0,0.09,0
I.,236.82,236.93,0,0.11,0
T.,236.93,237.09,0,0.16,0
V.,237.09,237.23,0,0.14,0
E.,237.23,237.61,0,0.38,0
so,237.61,237.79,0,0.18,0
pretty,237.79,238.03,0,0.24,0
but,238.03,238.21,0,0.18,0
perhaps,238.21,238.5,0,0.29,0
the,238.5,238.63,0,0.13,0
spin,238.63,238.88,0,0.25,0
off,238.88,239.08,0,0.2,0
much,239.08,239.3,0,0.22,0
as,239.3,239.4,0,0.1,0
you,239.4,239.5,0,0.1,0
would,239.5,240.07,0,0.57,0
any,240.42,240.7,0,0.28,0
other,240.7,240.97,0,0.27,0
essence,240.97,241.41,0,0.44,0
and,241.41,241.81,0,0.4,0
%HESITATION,242.62,243.14,1,0.52,0
no,243.6,243.82,1,0.22,0
Bucks,243.82,244.1,1,0.28,0
let's,244.1,244.31,1,0.21,0
just,244.31,244.62,1,0.31,0
know,244.62,244.82,1,0.2,0
which,244.88,245.08,1,0.2,0
is,245.08,245.3,1,0.22,0
kind,245.3,245.47,1,0.17,0
of,245.47,245.55,1,0.08,0
why,245.55,245.73,1,0.18,0
I,245.73,245.76,1,0.03,0
was,246.1,246.2,1,0.1,0
surprised,246.2,246.81,1,0.61,0
I,247.08,247.19,1,0.11,0
guess,247.19,247.71,1,0.52,0
yeah,247.76,248.21,0,0.45,0
yeah,248.36,248.77,0,0.41,0
have,249.35,249.51,0,0.16,0
you,249.51,249.59,0,0.08,0
had,249.59,249.78,0,0.19,0
any,249.78,249.98,0,0.2,0
sort,249.98,250.16,0,0.18,0
of,250.16,250.22,0,0.06,0
excessive,250.22,250.69,0,0.47,0
tiredness,250.69,251.7,0,1.01,0
so,251.7,252.13,0,0.43,0
you,252.17,252.58,0,0.41,0
return,252.58,252.95,0,0.37,0
okay,252.95,253.49,0,0.54,0
no,253.52,253.81,1,0.29,0
